,index,Rk,Player,Squad,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
169,175,170,João Félix,Chelsea,10.5,4,46,16,34.8,4.40,1.53,0.09,0.25,18.0,3,0,0,4.9,4.9,0.11,-0.9,-0.9
170,176,171,Evan Ferguson,Brighton,10.6,6,36,17,47.2,3.41,1.61,0.17,0.35,15.2,0,0,0,5.3,5.3,0.15,+0.7,+0.7
171,177,172,Bruno Fernandes,Manchester Utd,36.8,8,90,32,35.6,2.44,0.87,0.07,0.19,20.8,6,2,2,9.3,7.7,0.09,-1.3,-1.7
172,178,173,Enzo Fernández,Chelsea,17.2,0,20,3,15.0,1.16,0.17,0.00,0.00,25.7,2,0,0,0.8,0.8,0.04,-0.8,-0.8
173,179,174,Roberto Firmino,Liverpool,13.5,11,39,25,64.1,2.89,1.85,0.28,0.44,12.3,0,0,0,5.5,5.5,0.14,+5.5,+5.5
174,180,175,Junior Firpo,Leeds United,15.2,1,2,1,50.0,0.13,0.07,0.50,1.00,12.2,0,0,0,0.1,0.1,0.06,+0.9,+0.9
175,182,176,Phil Foden,Manchester City,20.5,11,46,22,47.8,2.25,1.07,0.24,0.50,15.3,1,0,0,5.9,5.9,0.13,+5.1,+5.1
176,183,177,Datro Fofana,Chelsea,0.8,0,3,1,33.3,3.86,1.29,0.00,0.00,19.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
177,184,178,Wesley Fofana,Leicester City,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
178,185,179,Wesley Fofana,Chelsea,13.1,1,6,2,33.3,0.46,0.15,0.17,0.50,11.4,0,0,0,0.7,0.7,0.12,+0.3,+0.3
179,186,180,Pablo Fornals,West Ham,16.7,3,27,7,25.9,1.62,0.42,0.11,0.43,22.6,0,0,0,2.2,2.2,0.08,+0.8,+0.8
180,187,181,Adam Forshaw,Leeds United,5.3,0,1,0,0.0,0.19,0.00,0.00,,26.4,0,0,0,0.0,0.0,0.03,0.0,0.0
181,188,182,Fraser Forster,Tottenham,13.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
182,189,183,Tyrese Francois,Fulham,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
183,190,184,Ryan Fraser,Newcastle Utd,3.5,0,6,1,16.7,1.73,0.29,0.00,0.00,16.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
184,191,185,Fred,Manchester Utd,13.9,2,26,5,19.2,1.87,0.36,0.08,0.40,19.5,0,0,0,2.0,2.0,0.08,0.0,0.0
185,192,186,Ryan Fredericks,Bournemouth,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
186,193,187,Remo Freuler,Nott'ham Forest,24.0,0,8,1,12.5,0.33,0.04,0.00,0.00,20.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
187,194,188,Cody Gakpo,Liverpool,16.2,7,39,12,30.8,2.41,0.74,0.18,0.58,14.8,0,0,0,6.2,6.2,0.16,+0.8,+0.8
188,195,189,Conor Gallagher,Chelsea,18.0,3,28,11,39.3,1.55,0.61,0.11,0.27,17.9,0,0,0,2.5,2.5,0.09,+0.5,+0.5
189,196,190,Idrissa Gana Gueye,Everton,28.6,0,15,6,40.0,0.52,0.21,0.00,0.00,25.1,1,0,0,0.7,0.7,0.05,-0.7,-0.7
190,197,191,Alejandro Garnacho,Manchester Utd,6.3,3,24,9,37.5,3.80,1.42,0.13,0.33,16.3,0,0,0,3.0,3.0,0.13,0.0,0.0
191,198,192,James Garner,Everton,8.9,0,9,3,33.3,1.01,0.34,0.00,0.00,22.3,1,0,0,0.8,0.8,0.08,-0.8,-0.8
192,199,193,David de Gea,Manchester Utd,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
193,200,194,Joe Gelhardt,Leeds United,2.4,0,10,2,20.0,4.25,0.85,0.00,0.00,23.5,1,0,0,0.8,0.8,0.08,-0.8,-0.8
194,201,195,Saman Ghoddos,Brentford,1.5,0,1,1,100.0,0.65,0.65,0.00,0.00,19.2,0,0,0,0.0,0.0,0.05,0.0,0.0
195,202,196,Morgan Gibbs-White,Wolves,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,11.5,0,0,0,0.7,0.7,0.24,-0.7,-0.7
196,203,197,Morgan Gibbs-White,Nott'ham Forest,33.0,5,57,19,33.3,1.73,0.58,0.05,0.16,20.0,3,2,2,6.0,4.4,0.08,-1.0,-1.4
197,204,198,Bryan Gil,Tottenham,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,19.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
198,205,199,Billy Gilmour,Brighton,5.6,0,6,1,16.7,1.07,0.18,0.00,0.00,20.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5
199,206,200,Degnand Gnonto,Leeds United,15.0,2,22,8,36.4,1.46,0.53,0.09,0.25,17.4,0,0,0,1.8,1.8,0.08,+0.2,+0.2
200,208,201,Ben Godfrey,Everton,8.9,0,6,0,0.0,0.67,0.00,0.00,,13.1,0,0,0,1.2,1.2,0.21,-1.2,-1.2
201,209,202,João Gomes,Wolves,7.3,1,4,2,50.0,0.55,0.28,0.25,0.50,20.7,0,0,0,0.3,0.3,0.08,+0.7,+0.7
202,210,203,Toti Gomes,Wolves,10.9,1,5,2,40.0,0.46,0.18,0.20,0.50,9.9,0,0,0,0.4,0.4,0.08,+0.6,+0.6
203,211,204,Joe Gomez,Liverpool,16.3,0,6,2,33.3,0.37,0.12,0.00,0.00,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
204,212,205,Sergio Gómez,Manchester City,3.9,0,7,0,0.0,1.81,0.00,0.00,,22.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4
205,213,206,Anthony Gordon,Newcastle Utd,5.4,1,8,2,25.0,1.48,0.37,0.13,0.50,14.0,0,0,0,1.7,1.7,0.21,-0.7,-0.7
206,214,207,Anthony Gordon,Everton,12.2,3,26,16,61.5,2.14,1.32,0.12,0.19,16.6,1,0,0,3.3,3.3,0.13,-0.3,-0.3
207,215,208,Demarai Gray,Everton,27.9,4,57,22,38.6,2.05,0.79,0.04,0.09,19.5,8,2,2,6.2,4.7,0.08,-2.2,-2.7
208,216,209,Jack Grealish,Manchester City,22.8,5,41,15,36.6,1.80,0.66,0.12,0.33,15.4,0,0,0,4.6,4.6,0.11,+0.4,+0.4
209,217,210,Sam Greenwood,Leeds United,4.7,1,12,2,16.7,2.55,0.42,0.08,0.50,24.2,5,0,0,0.7,0.7,0.06,+0.3,+0.3
210,218,211,Pascal Groß,Brighton,36.0,9,39,19,48.7,1.08,0.53,0.23,0.47,17.4,1,0,0,5.4,5.4,0.14,+3.6,+3.6
211,219,212,Vicente Guaita,Crystal Palace,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
212,220,213,Gonçalo Guedes,Wolves,7.9,1,19,6,31.6,2.42,0.76,0.05,0.17,18.4,1,0,0,1.2,1.2,0.06,-0.2,-0.2
213,221,214,Marc Guéhi,Crystal Palace,37.0,1,14,6,42.9,0.38,0.16,0.07,0.17,8.3,0,0,0,1.5,1.5,0.10,-0.5,-0.5
214,222,215,Bruno Guimarães,Newcastle Utd,30.3,4,28,8,28.6,0.92,0.26,0.14,0.50,19.7,0,0,0,2.8,2.8,0.10,+1.2,+1.2
215,223,216,İlkay Gündoğan,Manchester City,26.1,8,53,20,37.7,2.03,0.76,0.15,0.40,18.1,5,0,1,7.5,6.7,0.13,+0.5,+1.3
216,224,217,Darko Gyabi,Leeds United,0.1,0,1,0,0.0,11.25,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
217,225,218,Erling Haaland,Manchester City,30.8,36,116,53,45.7,3.77,1.72,0.25,0.55,12.6,0,7,7,28.4,23.1,0.20,+7.6,+5.9
218,226,219,Lewis Hall,Chelsea,7.3,0,11,5,45.5,1.51,0.69,0.00,0.00,15.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9
219,227,220,Luke Harris,Fulham,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
220,228,221,Jack Harrison,Leeds United,30.1,5,39,14,35.9,1.30,0.47,0.13,0.36,17.8,3,0,0,4.7,4.7,0.12,+0.3,+0.3
221,229,222,Kai Havertz,Chelsea,28.5,7,70,31,44.3,2.45,1.09,0.09,0.19,12.7,1,1,1,11.6,10.8,0.15,-4.6,-4.8
222,230,223,Jan Paul van Hecke,Brighton,3.3,0,2,0,0.0,0.61,0.00,0.00,,16.3,0,0,0,0.6,0.6,0.30,-0.6,-0.6
223,231,224,Hwang Hee-chan,Wolves,12.6,3,18,7,38.9,1.43,0.56,0.17,0.43,15.0,0,0,0,2.9,2.9,0.16,+0.1,+0.1
224,232,225,Dean Henderson,Nott'ham Forest,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
225,234,226,Jordan Henderson,Liverpool,23.0,0,23,5,21.7,1.00,0.22,0.00,0.00,22.8,0,0,0,1.4,1.4,0.06,-1.4,-1.4
226,235,227,Wayne Hennessey,Nott'ham Forest,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
227,236,228,Rico Henry,Brentford,36.0,0,22,4,18.2,0.61,0.11,0.00,0.00,20.0,0,0,0,1.6,1.6,0.07,-1.6,-1.6
228,237,229,Son Heung-min,Tottenham,32.1,10,81,38,46.9,2.52,1.18,0.12,0.26,18.3,5,0,0,10.1,10.1,0.12,-0.1,-0.1
229,238,230,Aaron Hickey,Brentford,21.3,0,11,2,18.2,0.52,0.09,0.00,0.00,21.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
230,239,231,Jack Hinshelwood,Brighton,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
231,240,232,Joseph Hodge,Wolves,1.9,0,2,0,0.0,1.03,0.00,0.00,,11.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3
232,241,233,Rob Holding,Arsenal,6.3,1,5,2,40.0,0.80,0.32,0.20,0.50,12.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7
233,242,234,Mason Holgate,Everton,5.6,0,4,0,0.0,0.71,0.00,0.00,,11.5,0,0,0,1.0,1.0,0.25,-1.0,-1.0
234,243,235,Will Hughes,Crystal Palace,9.4,1,6,4,66.7,0.64,0.43,0.17,0.25,17.2,0,0,0,0.3,0.3,0.06,+0.7,+0.7
235,244,236,Omari Hutchinson,Chelsea,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
236,245,237,Pierre Højbjerg,Tottenham,34.8,4,33,9,27.3,0.95,0.26,0.12,0.44,21.2,0,0,0,2.0,2.0,0.06,+2.0,+2.0
237,246,238,Kelechi Iheanacho,Leicester City,12.5,5,38,13,34.2,3.03,1.04,0.11,0.31,17.1,0,1,1,7.1,6.3,0.17,-2.1,-2.3
238,247,239,Danny Ings,West Ham,8.6,2,15,4,26.7,1.74,0.46,0.13,0.50,11.2,0,0,0,3.0,3.0,0.20,-1.0,-1.0
239,248,240,Danny Ings,Aston Villa,9.2,6,25,12,48.0,2.73,1.31,0.16,0.33,15.5,0,2,2,5.3,3.8,0.15,+0.7,+0.2
240,249,241,Alexander Isak,Newcastle Utd,16.9,10,49,23,46.9,2.90,1.36,0.16,0.35,15.0,0,2,2,8.2,6.7,0.14,+1.8,+1.3
241,250,242,Daniel Iversen,Leicester City,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
242,251,243,Alex Iwobi,Everton,37.5,2,42,15,35.7,1.12,0.40,0.05,0.13,21.0,0,0,0,2.5,2.5,0.06,-0.5,-0.5
243,252,244,Daniel James,Leeds United,2.2,0,3,1,33.3,1.36,0.45,0.00,0.00,17.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3
244,253,245,Daniel James,Fulham,6.9,2,14,3,21.4,2.03,0.43,0.14,0.67,13.0,0,0,0,1.7,1.7,0.12,+0.3,+0.3
245,254,246,Reece James,Chelsea,13.8,1,16,4,25.0,1.16,0.29,0.06,0.25,22.4,2,0,0,1.0,1.0,0.06,0.0,0.0
246,255,247,Vitaly Janelt,Brentford,24.5,3,14,5,35.7,0.57,0.20,0.21,0.60,15.8,0,0,0,2.4,2.4,0.17,+0.6,+0.6
247,256,248,Pontus Jansson,Brentford,8.0,1,4,2,50.0,0.50,0.25,0.25,0.50,9.9,0,0,0,0.3,0.3,0.08,+0.7,+0.7
248,257,249,Mathias Jensen,Brentford,31.1,5,23,7,30.4,0.74,0.22,0.22,0.71,22.0,4,0,0,2.2,2.2,0.09,+2.8,+2.8
249,258,250,Gabriel Jesus,Arsenal,22.9,11,76,31,40.8,3.31,1.35,0.13,0.32,10.6,0,1,1,14.0,13.2,0.18,-3.0,-3.2
250,260,251,Raúl Jiménez,Wolves,9.4,0,20,9,45.0,2.13,0.96,0.00,0.00,14.5,0,0,0,2.6,2.6,0.13,-2.6,-2.6
251,261,252,Joelinton,Newcastle Utd,29.6,6,51,19,37.3,1.72,0.64,0.12,0.32,14.6,0,0,0,7.1,7.1,0.14,-1.1,-1.1
252,262,253,Ben Johnson,West Ham,9.6,0,2,1,50.0,0.21,0.10,0.00,0.00,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
253,263,254,Brennan Johnson,Nott'ham Forest,32.6,8,52,24,46.2,1.60,0.74,0.13,0.29,16.6,0,1,3,8.6,6.2,0.12,-0.6,+0.8
254,264,255,Sam Johnstone,Crystal Palace,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
255,265,256,Curtis Jones,Liverpool,11.5,3,15,5,33.3,1.30,0.43,0.20,0.60,17.9,0,0,0,1.2,1.2,0.08,+1.8,+1.8
256,266,257,Jorginho,Arsenal,9.5,0,6,0,0.0,0.63,0.00,0.00,,22.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
257,267,258,Jorginho,Chelsea,14.2,2,3,1,33.3,0.21,0.07,0.00,0.00,34.1,0,2,2,1.7,0.1,0.04,+0.3,-0.1
258,268,259,Mateo Joseph,Leeds United,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,15.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1
259,269,260,Diogo Jota,Liverpool,12.6,7,35,11,31.4,2.79,0.88,0.20,0.64,11.7,0,0,0,6.5,6.5,0.19,+0.5,+0.5
260,270,261,Hamed Junior Traorè,Bournemouth,4.7,0,6,0,0.0,1.26,0.00,0.00,,17.1,1,0,0,0.9,0.9,0.15,-0.9,-0.9
261,271,262,James Justin,Leicester City,13.9,0,5,0,0.0,0.36,0.00,0.00,,23.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3
262,272,263,Mathias Jørgensen,Brentford,12.3,0,5,1,20.0,0.41,0.08,0.00,0.00,7.8,0,0,0,0.9,0.9,0.18,-0.9,-0.9
263,273,264,Sasa Kalajdzic,Wolves,0.5,0,1,0,0.0,2.00,0.00,0.00,,4.4,0,0,0,0.3,0.3,0.27,-0.3,-0.3
264,274,265,Boubacar Kamara,Aston Villa,19.7,0,4,1,25.0,0.20,0.05,0.00,0.00,29.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
265,275,266,Harry Kane,Tottenham,37.8,30,124,54,43.5,3.28,1.43,0.20,0.46,16.0,3,5,6,21.5,16.7,0.13,+8.5,+8.3
266,276,267,N'Golo Kanté,Chelsea,5.8,0,8,1,12.5,1.39,0.17,0.00,0.00,20.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
267,277,268,Michael Keane,Everton,10.9,1,14,4,28.6,1.28,0.37,0.07,0.25,12.9,0,0,0,1.3,1.3,0.10,-0.3,-0.3
268,278,269,Neeskens Kebano,Fulham,8.5,0,9,2,22.2,1.06,0.24,0.00,0.00,15.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5
269,279,270,Thilo Kehrer,West Ham,24.8,0,8,1,12.5,0.32,0.04,0.00,0.00,18.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5
270,280,271,Naby Keïta,Liverpool,3.3,0,10,0,0.0,3.07,0.00,0.00,,20.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6
271,281,272,Caoimhín Kelleher,Liverpool,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
272,282,273,Lloyd Kelly,Bournemouth,22.7,0,3,0,0.0,0.13,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
273,283,274,Max Kilman,Wolves,36.7,0,14,0,0.0,0.38,0.00,0.00,,10.1,0,0,0,1.3,1.3,0.10,-1.3,-1.3
274,284,275,Jakub Kiwior,Arsenal,4.7,1,1,1,100.0,0.21,0.21,1.00,1.00,10.0,0,0,0,0.1,0.1,0.09,+0.9,+0.9
275,286,276,Mateusz Klich,Leeds United,3.1,0,4,1,25.0,1.29,0.32,0.00,0.00,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
276,287,277,Robin Koch,Leeds United,35.3,0,17,4,23.5,0.48,0.11,0.00,0.00,11.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5
277,288,278,Ibrahima Konaté,Liverpool,17.2,0,11,3,27.3,0.64,0.17,0.00,0.00,9.7,0,0,0,1.2,1.2,0.11,-1.2,-1.2
278,289,279,Ezri Konsa,Aston Villa,36.9,0,8,0,0.0,0.22,0.00,0.00,,8.0,0,0,0,1.1,1.1,0.13,-1.1,-1.1
279,290,280,Kalidou Koulibaly,Chelsea,20.0,2,11,4,36.4,0.55,0.20,0.18,0.50,12.0,0,0,0,0.9,0.9,0.09,+1.1,+1.1
280,291,281,Cheikhou Kouyaté,Nott'ham Forest,9.8,1,6,5,83.3,0.61,0.51,0.17,0.20,19.4,0,0,0,0.4,0.4,0.06,+0.6,+0.6
281,292,282,Mateo Kovačić,Chelsea,19.0,1,23,1,4.3,1.21,0.05,0.04,1.00,22.1,0,0,0,1.8,1.8,0.08,-0.8,-0.8
282,293,283,Emil Krafth,Newcastle Utd,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
283,294,284,Dejan Kulusevski,Tottenham,23.0,2,43,10,23.3,1.87,0.44,0.05,0.20,17.6,0,0,0,2.6,2.6,0.06,-0.6,-0.6
284,295,285,Layvin Kurzawa,Fulham,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
285,296,286,Adam Lallana,Brighton,8.0,2,8,5,62.5,1.00,0.62,0.25,0.40,13.3,0,0,0,0.9,0.9,0.11,+1.1,+1.1
286,297,287,Tariq Lamptey,Brighton,5.0,0,5,0,0.0,0.99,0.00,0.00,,20.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
287,298,288,Manuel Lanzini,West Ham,2.8,1,3,1,33.3,1.07,0.36,0.33,1.00,23.1,0,0,0,0.5,0.5,0.18,+0.5,+0.5
288,299,289,Aymeric Laporte,Manchester City,11.0,0,10,1,10.0,0.91,0.09,0.00,0.00,14.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5
289,300,290,Juan Larios,Southampton,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
290,301,291,Jamaal Lascelles,Newcastle Utd,2.4,0,2,0,0.0,0.83,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
291,302,292,Roméo Lavia,Southampton,24.7,1,12,3,25.0,0.49,0.12,0.08,0.33,27.0,0,0,0,0.4,0.4,0.03,+0.6,+0.6
292,303,293,Dexter Lembikisa,Wolves,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
293,304,294,Mario Lemina,Wolves,14.4,0,9,2,22.2,0.62,0.14,0.00,0.00,27.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
294,305,295,Clément Lenglet,Tottenham,22.4,0,13,2,15.4,0.58,0.09,0.00,0.00,15.5,0,0,0,1.0,1.0,0.07,-1.0,-1.0
295,306,296,Bernd Leno,Fulham,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
296,307,297,Jefferson Lerma,Bournemouth,36.1,5,35,10,28.6,0.97,0.28,0.14,0.50,17.6,0,0,0,2.6,2.6,0.07,+2.4,+2.4
297,308,298,Jamal Lewis,Newcastle Utd,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
298,309,299,Rico Lewis,Manchester City,10.0,0,5,2,40.0,0.50,0.20,0.00,0.00,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
299,310,300,Keane Lewis-Potter,Brentford,3.6,0,7,2,28.6,1.96,0.56,0.00,0.00,14.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5
300,312,301,Victor Lindelöf,Manchester Utd,15.2,0,3,0,0.0,0.20,0.00,0.00,,7.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3
301,313,302,Jesse Lingard,Nott'ham Forest,10.3,0,10,2,20.0,0.98,0.20,0.00,0.00,19.3,0,0,0,1.0,1.0,0.10,-1.0,-1.0
302,314,303,Valentino Livramento,Southampton,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
303,315,304,Diego Llorente,Leeds United,7.2,0,6,0,0.0,0.83,0.00,0.00,,12.5,0,0,0,0.7,0.7,0.12,-0.7,-0.7
304,316,305,Hugo Lloris,Tottenham,24.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
305,317,306,Renan Lodi,Nott'ham Forest,24.6,0,15,0,0.0,0.61,0.00,0.00,,19.9,2,0,0,1.0,1.0,0.06,-1.0,-1.0
306,318,307,Ruben Loftus-Cheek,Chelsea,17.1,0,9,2,22.2,0.53,0.12,0.00,0.00,18.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8
307,319,308,Sean Longstaff,Newcastle Utd,28.0,1,33,7,21.2,1.18,0.25,0.03,0.14,16.0,0,0,0,3.6,3.6,0.11,-2.6,-2.6
308,320,309,Jamal Lowe,Bournemouth,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
309,321,310,Douglas Luiz,Aston Villa,32.5,6,34,12,35.3,1.05,0.37,0.18,0.50,25.0,7,0,0,2.8,2.8,0.08,+3.2,+3.2
310,322,311,Saša Lukić,Fulham,4.6,0,5,1,20.0,1.09,0.22,0.00,0.00,27.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
311,323,312,Lyanco,Southampton,13.1,1,12,4,33.3,0.92,0.31,0.08,0.25,19.1,0,0,0,0.6,0.6,0.05,+0.4,+0.4
312,324,313,Alexis Mac Allister,Brighton,32.1,10,80,28,35.0,2.49,0.87,0.05,0.14,22.5,8,6,6,12.1,7.3,0.09,-2.1,-3.3
313,325,314,James Maddison,Leicester City,27.6,10,83,27,32.5,3.01,0.98,0.11,0.33,21.1,13,1,2,8.7,6.6,0.08,+1.3,+2.4
314,326,315,Noni Madueke,Chelsea,7.1,1,12,6,50.0,1.68,0.84,0.08,0.17,15.6,0,0,0,0.9,0.9,0.08,+0.1,+0.1
315,327,316,Harry Maguire,Manchester Utd,8.5,0,3,0,0.0,0.35,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.12,-0.3,-0.3
316,328,317,Riyad Mahrez,Manchester City,21.3,5,42,12,28.6,1.97,0.56,0.10,0.33,17.2,7,1,1,5.5,4.7,0.11,-0.5,-0.7
317,329,318,Kobbie Mainoo,Manchester Utd,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
318,330,319,Ainsley Maitland-Niles,Southampton,15.6,0,1,1,100.0,0.06,0.06,0.00,0.00,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0
319,331,320,Tyrell Malacia,Manchester Utd,15.5,0,5,2,40.0,0.32,0.13,0.00,0.00,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
320,332,321,Orel Mangala,Nott'ham Forest,17.2,1,9,3,33.3,0.52,0.17,0.11,0.33,20.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4
321,333,322,Javier Manquillo,Newcastle Utd,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
322,334,323,Sekou Mara,Southampton,6.2,1,17,4,23.5,2.76,0.65,0.06,0.25,16.2,0,0,0,1.0,1.0,0.06,0.0,0.0
323,335,324,Solly March,Brighton,30.2,7,74,31,41.9,2.45,1.03,0.09,0.23,16.2,1,0,0,8.1,8.1,0.11,-1.1,-1.1
324,336,325,Emiliano Marcondes,Bournemouth,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
325,338,326,Marquinhos,Arsenal,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
326,339,327,Anthony Martial,Manchester Utd,10.9,6,26,12,46.2,2.39,1.10,0.19,0.42,13.2,0,1,1,6.2,5.5,0.21,-0.2,-0.5
327,340,328,Martinelli,Arsenal,31.0,15,79,30,38.0,2.55,0.97,0.19,0.50,15.4,2,0,0,9.3,9.3,0.12,+5.7,+5.7
328,341,329,Emiliano Martínez,Aston Villa,34.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
329,342,330,Lisandro Martínez,Manchester Utd,23.5,1,10,1,10.0,0.43,0.04,0.10,1.00,14.8,0,0,0,0.5,0.5,0.05,+0.5,+0.5
330,343,331,Pape Matar Sarr,Tottenham,2.4,0,2,0,0.0,0.83,0.00,0.00,,27.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
331,344,332,Jean-Philippe Mateta,Crystal Palace,8.6,2,27,7,25.9,3.16,0.82,0.07,0.29,12.2,0,0,0,3.4,3.4,0.13,-1.4,-1.4
332,345,333,Joël Matip,Liverpool,12.1,1,5,3,60.0,0.41,0.25,0.20,0.33,8.3,0,0,0,0.7,0.7,0.17,+0.3,+0.3
333,346,334,Neal Maupay,Everton,12.4,1,32,13,40.6,2.58,1.05,0.03,0.08,14.3,0,0,0,4.8,4.8,0.15,-3.8,-3.8
334,347,335,Kevin Mbabu,Fulham,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
335,348,336,Bryan Mbeumo,Brentford,32.3,9,70,32,45.7,2.17,0.99,0.11,0.25,16.3,1,1,1,9.8,9.0,0.13,-0.8,-1.0
336,349,337,James McArthur,Crystal Palace,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
337,350,338,Alex McCarthy,Southampton,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
338,351,339,John McGinn,Aston Villa,29.9,1,42,11,26.2,1.40,0.37,0.02,0.09,23.6,0,0,0,2.4,2.4,0.06,-1.4,-1.4
339,352,340,Scott McKenna,Nott'ham Forest,17.5,0,2,0,0.0,0.11,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
340,353,341,Weston McKennie,Leeds United,16.0,0,13,2,15.4,0.81,0.13,0.00,0.00,15.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
341,354,342,Dwight McNeil,Everton,27.8,7,46,15,32.6,1.66,0.54,0.15,0.47,20.5,1,0,0,3.5,3.5,0.08,+3.5,+3.5
342,355,343,Scott McTominay,Manchester Utd,12.9,1,13,6,46.2,1.01,0.47,0.08,0.17,14.9,0,0,0,1.9,1.9,0.15,-0.9,-0.9
